serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_reference,num_subgraphs,infer_time_core_ms,ddr_transfer_mb,run_dir,artifact_name
1,3dod-7100,onnxrt,detection_3d,None,lidar_point_pillars_10k_496x432_qat-p2.onnx,None,None,76.5,1,33084.30464,0.0,3dod-7100_onnxrt_kitti_mmdet3d_lidar_point_pillars_10k_496x432_qat-p2_onnx,ONR-3DOD-7100-pointPillars-lidar-10000-496x432
2,cl-0000,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,67.91,71.676,1,217.759148,18446744073709.55,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf
3,cl-0010,tflitert,classification,224,mobilenet_v2_1.0_224.tflite,accuracy_top1%,65.64,71.9,1,200.39301,18446744073709.55,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2
4,cl-0130,tflitert,classification,224,efficientnet-lite0-fp32.tflite,accuracy_top1%,69.46,75.1,1,234.785467,18446744073709.55,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0
5,cl-0160,tflitert,classification,224,resnet50_v1.5.tflite,accuracy_top1%,75.58,76.456,1,3030.493992,18446744073709.55,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf
6,cl-3090,tvmdlr,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,70.27,71.88,1,343.22991,0.0,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv
7,cl-6090,onnxrt,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,70.27,71.88,1,198.921069,0.0,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv
8,cl-6091,onnxrt,classification,512,mobilenet_v2_tv_512x512.onnx,accuracy_top1%,57.0,None,1,1036.738576,0.0,cl-6091_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_512x512_onnx,ONR-CL-6091-mobileNetV2-tv-512x512
9,cl-6100,onnxrt,classification,224,resnet18.onnx,accuracy_top1%,69.45,69.76,1,1576.239138,0.0,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18
10,cl-6101,onnxrt,classification,512,resnet18_512x512.onnx,accuracy_top1%,70.0,None,1,9036.816638,0.0,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512
11,cl-6102,onnxrt,classification,1024,resnet18_1024x1024.onnx,accuracy_top1%,0.0,None,1,29988.552211,0.0,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024
12,cl-6110,onnxrt,classification,224,resnet50.onnx,accuracy_top1%,75.45,76.15,1,6099.551639,0.0,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50
13,cl-6160,onnxrt,classification,224,regnet_x_400mf_tv.onnx,accuracy_top1%,72.26,72.834,1,330.449044,0.0,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf-tv
